# %ECSV 0.9
# ---
# datatype:
# - {name: m, datatype: int8}
# - {name: n, datatype: int8}
# - {name: wavelength, datatype: float32}
# - {name: int_mid_MJD_UTC, datatype: float64}
# - {name: int_mid_BJD_TDB, datatype: float64}
# - {name: flux(MJy/sr), datatype: float32}
# - {name: err(MJr/sr), datatype: float32}
# schema: astropy-2.0
m n wavelength int_mid_MJD_UTC int_mid_BJD_TDB flux(MJy/sr) err(MJr/sr)
0 0 2.450076 59694.20347004844 2459694.7071453533 7147183.0 26357004000000.0
0 0 2.45108 59694.20347004844 2459694.7071453533 7053745.0 51414230000000.0
0 0 2.452084 59694.20347004844 2459694.7071453533 7067821.5 12749083000000.0
0 0 2.453088 59694.20347004844 2459694.7071453533 6992165.5 24995850000000.0
0 0 2.454092 59694.20347004844 2459694.7071453533 7067948.0 24663156000000.0
0 0 2.455096 59694.20347004844 2459694.7071453533 7012545.5 24383600000000.0
0 0 2.4561 59694.20347004844 2459694.7071453533 6966685.0 24176023000000.0
0 0 2.457104 59694.20347004844 2459694.7071453533 6966746.5 83787354000000.0
0 0 2.458108 59694.20347004844 2459694.7071453533 7073370.0 23884498000000.0
0 0 2.459112 59694.20347004844 2459694.7071453533 7149412.0 11941556000000.0
0 0 2.460116 59694.20347004844 2459694.7071453533 7173805.0 11886286000000.0
0 0 2.46112 59694.20347004844 2459694.7071453533 7205686.5 46941216000000.0
0 0 2.462124 59694.20347004844 2459694.7071453533 7196407.0 11787090000000.0
0 0 2.463128 59694.20347004844 2459694.7071453533 7125535.0 23351798000000.0
0 0 2.464132 59694.20347004844 2459694.7071453533 7142512.5 11695520000000.0
0 0 2.465136 59694.20347004844 2459694.7071453533 7298510.5 23170677000000.0
0 0 2.46614 59694.20347004844 2459694.7071453533 7342475.0 11606182000000.0
0 0 2.467144 59694.20347004844 2459694.7071453533 7262718.5 22970305000000.0
0 0 2.468148 59694.20347004844 2459694.7071453533 7285733.0 79692850000000.0
0 0 2.469152 59694.20347004844 2459694.7071453533 7287419.0 34067433000000.0
0 0 2.470156 59694.20347004844 2459694.7071453533 6969762.5 33876924000000.0
0 0 2.47116 59694.20347004844 2459694.7071453533 6970220.0 44875815000000.0
0 0 2.472164 59694.20347004844 2459694.7071453533 7078555.0 44621840000000.0
0 0 2.473168 59694.20347004844 2459694.7071453533 7234225.0 22245607000000.0
0 0 2.474172 59694.20347004844 2459694.7071453533 7234959.0 11117448000000.0
0 0 2.475176 59694.20347004844 2459694.7071453533 7012352.0 43787506000000.0
0 0 2.47618 59694.20347004844 2459694.7071453533 7059228.0 128030340000.0
0 0 2.477184 59694.20347004844 2459694.7071453533 7049544.0 21719197000000.0
